red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow
151.31,78.44,44.76,52.74,185.73,151.46,28.11,184.99,143.0,-219.0,340.0
120.52,30.87,32.66,112.7,202.75,120.52,56.99,118.73,149.0,-211.0,326.0
131.83,40.09,42.63,118.92,196.0,131.83,49.11,129.29,126.0,-227.0,336.0
180.75,138.39,67.86,18.62,167.24,182.75,-25.5,251.28,121.0,-245.0,362.0
178.32,70.37,44.31,28.02,195.19,178.34,63.64,204.38,148.0,-110.0,328.0
175.53,147.53,53.87,25.87,178.79,176.95,-25.87,269.19,140.0,-244.0,418.0
182.14,120.11,75.28,27.26,154.48,182.23,-13.25,226.97,161.0,-224.0,372.0
162.98,51.14,50.15,105.08,192.14,162.98,61.69,163.97,160.0,-246.0,357.0
179.5,149.5,60.56,24.1,172.37,180.53,-30.56,268.44,132.0,-232.0,405.0
184.48,168.08,70.32,24.02,157.7,185.06,-53.92,282.24,54.0,-215.0,407.0
163.25,86.14,52.34,72.73,179.56,163.25,24.77,197.05,149.0,-153.0,399.0
173.33,153.19,70.28,23.6,157.45,174.42,-50.14,256.24,109.0,-203.0,378.0
171.41,146.1,77.91,26.43,148.79,173.21,-52.6,239.6,106.0,-216.0,356.0
154.76,61.32,43.79,30.7,187.94,154.76,49.65,172.29,140.0,-235.0,311.0
188.74,167.72,91.91,24.97,137.65,193.2,-70.89,264.55,121.0,-198.0,353.0
189.02,182.36,92.9,27.08,134.25,190.25,-86.24,278.48,48.0,-175.0,368.0
162.19,103.26,61.02,37.94,166.38,162.19,-2.09,204.43,125.0,-190.0,357.0
172.26,132.94,57.21,18.3,174.52,172.26,-17.89,247.99,92.0,-224.0,395.0
123.0,39.49,50.31,143.84,181.97,123.0,33.2,112.18,138.0,-240.0,355.0
140.43,49.78,43.28,87.8,189.83,140.43,47.37,146.93,133.0,-240.0,302.0
142.35,56.58,43.14,91.61,192.32,142.35,42.63,155.79,117.0,-229.0,364.0
